DiaChi,chieuDai,chieuNgang,dienTich,dienTichSuDung,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,dacDiem,huongCuaChinh,TinhTrangNoiThat,Gia
"Đường Kha Vạn Cân, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",16 m,5.6 m,90 m²,,"- 46,67 triệu/m²",5 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất đầy đủ,"4,2 tỷ"
"Đường Kha Vạn Cân, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",16 m,5.6 m,90 m²,,"- 46,67 triệu/m²",5 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất đầy đủ,"4,2 tỷ"
"Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh",,,43 m²,,"- 113,95 triệu/m²",4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"4,9 tỷ"
"Đường Tân Mỹ, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh",,,56 m²,,"- 117,86 triệu/m²",3 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"6,6 tỷ"
"119/9, Đường Nguyễn Văn Khối, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh",15 m,8 m,117.4 m²,440 m²,"- 109,03 triệu/m²",8 phòng,5.0,Nhiều hơn 6 phòng,Nhà biệt thự,Đã có sổ,Hẻm xe hơi,Tây,Hoàn thiện cơ bản,"12,8 tỷ"
"Đường Hồng Lạc, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",5 m,3 m,17 m²,34 m²,"- 123,53 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà nở hậu,,,"2,1 tỷ"
"Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",,,72 m²,,"- 95,83 triệu/m²",4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"6,9 tỷ"
"Đường Tân Thới Hiệp 21, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",42 m,6.3 m,287 m²,,"- 45,29 triệu/m²",4 phòng,,,"Nhà mặt phố, mặt tiền",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,,"12,999 tỷ"
"Đường Tân Liêm, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",17.2 m,5 m,86 m²,86 m²,"- 10,45 triệu/m²",2 phòng,1.0,3 phòng,Nhà phố liền kề,Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,899 triệu
"Đường Trịnh Đình Trọng, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",17.4 m,7.1 m,123 m²,,"- 126,02 triệu/m²",10 phòng,,,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"15,5 tỷ"
"Đường Tô Hiến Thành, Phường 14, Quận 10, Tp Hồ Chí Minh",6.3 m,4.1 m,26 m²,,"- 221,15 triệu/m²",2 phòng,4.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"5,75 tỷ"
"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",10 m,4 m,40 m²,70 m²,"- 56,50 triệu/m²",2 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"2,26 tỷ"
"Đường 359, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",17.8 m,5 m,89 m²,89 m²,"- 106,74 triệu/m²",3 phòng,2.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,,"9,5 tỷ"
"0, Đường Số 31, Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh",46 m,5 m,252 m²,252 m²,"- 2,66 triệu/m²",2 phòng,1.0,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Đất chưa chuyển thổ",,Nội thất đầy đủ,670 triệu
"Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",15 m,4 m,60 m²,,"- 77,50 triệu/m²",6 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"4,65 tỷ"
"Đường Tô Hiến Thành, Phường 2, Quận 10, Tp Hồ Chí Minh",,,30 m²,,"- 216,67 triệu/m²",4 phòng,,,Nhà phố liền kề,Đã có sổ,Hẻm xe hơi,,,"6,5 tỷ"
"Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, Tp Hồ Chí Minh",14 m,3.2 m,41 m²,,"- 180,49 triệu/m²",4 phòng,4.0,,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất cao cấp,"7,4 tỷ"
"Đường Chiến Lược, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",16 m,4.7 m,64 m²,150 m²,"- 67,19 triệu/m²",3 phòng,3.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"4,3 tỷ"
"Đường Chiến Lược, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",16 m,4 m,64 m²,,"- 66,41 triệu/m²",3 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"4,25 tỷ"
"Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",13 m,6.8 m,78 m²,156 m²,"- 105,13 triệu/m²",3 phòng,2.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Bắc,Nội thất đầy đủ,"8,2 tỷ"
"Đường Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Tp Hồ Chí Minh",14 m,10 m,168 m²,,"- 92,26 triệu/m²",9 phòng,2.0,,"Nhà ngõ, hẻm",Đã có sổ,,,,"15,5 tỷ"
"Bông Sao, Phường 5, Quận 8, Tp Hồ Chí Minh",13 m,3.1 m,40.3 m²,,"- 114,14 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Nam,Nội thất đầy đủ,"4,6 tỷ"
"1020, Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",,,74 m²,,"- 120,27 triệu/m²",5 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"8,9 tỷ"
"Đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",14 m,3.8 m,53 m²,,"- 198,11 triệu/m²",4 phòng,3.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"10,5 tỷ"
"Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",12 m,4 m,48 m²,48 m²,"- 56,25 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Không có sổ,Hẻm xe hơi,,Hoàn thiện cơ bản,"2,7 tỷ"
"Đường số 2, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",16 m,4 m,64 m²,100 m²,"- 71,88 triệu/m²",3 phòng,2.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"4,6 tỷ"
"Đường Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",,4 m,20 m²,40 m²,"- 42,50 triệu/m²",2 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,850 triệu
"Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",8 m,3.3 m,26 m²,26 m²,- 30 triệu/m²,2 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,"Hẻm xe hơi,Nhà nở hậu",,Hoàn thiện cơ bản,780 triệu
"Đường số 21, Phường 5, Quận 8, Tp Hồ Chí Minh",26 m,7 m,174 m²,,"- 102,30 triệu/m²",4 phòng,2.0,4 phòng,Nhà biệt thự,Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,,"17,8 tỷ"
"Đường Cù Lao, Phường 2, Quận Phú Nhuận, Tp Hồ Chí Minh",14.3 m,6 m,85 m²,,"- 317,65 triệu/m²",4 phòng,3.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Nội thất đầy đủ,27 tỷ
"Đường Lâm Văn Bền, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",20 m,4.2 m,92 m²,88 m²,"- 195,65 triệu/m²",6 phòng,,Nhiều hơn 6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Nhà nở hậu,,Nội thất cao cấp,18 tỷ
"Đường Tỉnh lộ 10, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",10 m,3.5 m,35 m²,70 m²,"- 56,57 triệu/m²",2 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất cao cấp,"1,98 tỷ"
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh",13 m,4.25 m,54 m²,100 m²,"- 83,33 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất cao cấp,"4,5 tỷ"
"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",18 m,5 m,90 m²,90 m²,"- 177,78 triệu/m²",4 phòng,4.0,6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,16 tỷ
"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",15 m,4 m,60 m²,,"- 101,67 triệu/m²",5 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"6,1 tỷ"
"Đường Gò Xoài, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",13 m,3.1 m,40 m²,80 m²,"- 77,50 triệu/m²",3 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"3,1 tỷ"
"Đường Số 25, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",20 m,5 m,100 m²,300 m²,- 140 triệu/m²,4 phòng,3.0,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,Hoàn thiện cơ bản,14 tỷ
"Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh",12 m,4.1 m,49 m²,94 m²,"- 51,02 triệu/m²",2 phòng,2.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,Bắc,Nội thất đầy đủ,"2,5 tỷ"
"Đường Tam Đông 25, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh",14 m,4 m,58.5 m²,83 m²,"- 45,30 triệu/m²",2 phòng,2.0,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà nở hậu,Đông Bắc,,"2,65 tỷ"
"Đường Giồng Cát, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh",11 m,8.8 m,100 m²,210 m²,"- 7,90 triệu/m²",8 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Bàn giao thô,790 triệu
"Trần Thị Hè, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",20 m,5 m,100 m²,300 m²,"- 71,50 triệu/m²",4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất cao cấp,"7,15 tỷ"
"Đường Tân Mỹ, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh",17 m,3.5 m,60 m²,,- 110 triệu/m²,2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"6,6 tỷ"
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",,4.2 m,70 m²,210 m²,"- 62,57 triệu/m²",4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"4,38 tỷ"
"Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",,,80 m²,,"- 106,25 triệu/m²",4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"8,5 tỷ"
"Đường Phan Châu Trinh, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",10 m,4 m,40 m²,,"- 222,50 triệu/m²",4 phòng,3.0,4 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Hoàn thiện cơ bản,"8,9 tỷ"
"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",6 m,4 m,24 m²,96 m²,"- 62,50 triệu/m²",2 phòng,4.0,3 phòng,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,Hẻm xe hơi,,Hoàn thiện cơ bản,"1,5 tỷ"
"Đường Ba Đình, Phường 10, Quận 8, Tp Hồ Chí Minh",27.5 m,3.8 m,124 m²,,"- 84,68 triệu/m²",4 phòng,4.0,4 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Nhà nở hậu,Bắc,Nội thất đầy đủ,"10,5 tỷ"
"Đường Cách Mạng Tháng 8, Phường 5, Quận Tân Bình, Tp Hồ Chí Minh",15 m,4 m,59 m²,,"- 120,34 triệu/m²",3 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,,"7,1 tỷ"
"1., Đường Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Tp Hồ Chí Minh",17 m,4 m,68 m²,68 m²,"- 120,59 triệu/m²",1 phòng,1.0,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"8,2 tỷ"
"undefined, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",10 m,4 m,40 m²,120 m²,- 65 triệu/m²,4 phòng,3.0,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất đầy đủ,"2,6 tỷ"
"Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",,,25 m²,,- 144 triệu/m²,1 phòng,,,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"3,6 tỷ"
"Đường Dương Đình Cúc, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh",18 m,4 m,75 m²,140 m²,- 12 triệu/m²,3 phòng,1.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất đầy đủ,900 triệu
"Đường Tân Thới Nhất 2, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",17 m,4.2 m,71 m²,71 m²,"- 53,52 triệu/m²",3 phòng,1.0,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"3,8 tỷ"
"Đường Bàu Cát, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh",15 m,5 m,75 m²,,"- 186,67 triệu/m²",4 phòng,4.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất cao cấp,14 tỷ
"Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",11 m,3 m,32 m²,64 m²,- 75 triệu/m²,2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"2,4 tỷ"
"Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",11 m,4 m,44 m²,,"- 68,18 triệu/m²",4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,3 tỷ
"Đường Đinh Văn Ước, Xã Hưng Long, Huyện Bình Chánh, Tp Hồ Chí Minh",,,80 m²,,"- 10,88 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,870 triệu
"Đường Tân Chánh Hiệp 35, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",21 m,4 m,84 m²,84 m²,"- 50,60 triệu/m²",2 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Hoàn thiện cơ bản,"4,25 tỷ"
"đường đông thạnh , Xã Tân Xuân, Huyện Hóc Môn, Tp Hồ Chí Minh",,5 m,30 m²,92 m²,"- 24,83 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,745 triệu
"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",10 m,5 m,50 m²,50 m²,- 22 triệu/m²,2 phòng,22.0,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Đông Nam,Nội thất đầy đủ,"1,1 tỷ"
"Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",9 m,5.5 m,47.2 m²,61.5 m²,"- 74,15 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Hoàn thiện cơ bản,"3,5 tỷ"
"đường 65 , Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh",20 m,5 m,100 m²,100 m²,"- 6,90 triệu/m²",5 phòng,1.0,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,690 triệu
"Trần Thị He , Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",,,90 m²,,"- 98,89 triệu/m²",5 phòng,4.0,4 phòng,Nhà phố liền kề,Đã có sổ,,Nam,Nội thất cao cấp,"8,9 tỷ"
"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",20 m,4 m,80 m²,,"- 78,75 triệu/m²",3 phòng,1.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,,"6,3 tỷ"
"Trần Thị He, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",11 m,5 m,50 m²,228 m²,"- 115,80 triệu/m²",5 phòng,3.0,5 phòng,Nhà phố liền kề,Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",Tây Bắc,Nội thất cao cấp,"5,79 tỷ"
"Đường Lê Đức Thọ, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",,,38 m²,,"- 109,21 triệu/m²",2 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"4,15 tỷ"
"Đường Trương Thị Hoa, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",20 m,4 m,86 m²,145 m²,"- 52,33 triệu/m²",2 phòng,2.0,3 phòng,Nhà phố liền kề,Đã có sổ,Nhà nở hậu,Tây,Hoàn thiện cơ bản,"4,5 tỷ"
"Đường Thanh Niên, Xã Phạm Văn Hai, Huyện Bình Chánh, Tp Hồ Chí Minh",10.5 m,4 m,40.5 m²,40.5 m²,"- 11,98 triệu/m²",3 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,485 triệu
"Đường Tân Long, Xã Tân Nhựt, Huyện Bình Chánh, Tp Hồ Chí Minh",,,100 m²,,- 15 triệu/m²,2 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Hoàn thiện cơ bản,"1,5 tỷ"
"Đường Lạc Long Quân, Phường 9, Quận Tân Bình, Tp Hồ Chí Minh",20 m,8 m,160 m²,160 m²,- 150 triệu/m²,nhiều hơn 10 phòng,5.0,Nhiều hơn 6 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất đầy đủ,24 tỷ
"Đường Tân Hiệp 27, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh",10 m,5 m,50 m²,50 m²,- 14 triệu/m²,2 phòng,1.0,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Đất chưa chuyển thổ,Hẻm xe hơi",,Hoàn thiện cơ bản,700 triệu
"Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",,,24 m²,,"- 120,83 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà nở hậu,,,"2,9 tỷ"
"Đường Cư Xá Phú Lâm A, Phường 12, Quận 6, Tp Hồ Chí Minh",,,33 m²,,"- 116,67 triệu/m²",3 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"3,85 tỷ"
"Đường Lương Văn Can, Phường 15, Quận 8, Tp Hồ Chí Minh",21 m,3.2 m,67 m²,,"- 67,16 triệu/m²",3 phòng,3.0,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"4,5 tỷ"
"Đường Hiệp Thành 17 Nối Dài, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",4.5 m,4.2 m,18.9 m²,,"- 41,80 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Giấy tờ viết tay,Hẻm xe hơi,,,790 triệu
"Đường Mã Lò, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",10 m,4 m,40 m²,,- 100 triệu/m²,3 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất cao cấp,4 tỷ
"Đường Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh",17 m,4.5 m,76.5 m²,76.5 m²,"- 36,60 triệu/m²",3 phòng,3.0,2 phòng,"Nhà ngõ, hẻm",Không có sổ,Hẻm xe hơi,,,"2,8 tỷ"
"Đường Phú Định, Phường 16, Quận 8, Tp Hồ Chí Minh",,,57 m²,,"- 57,89 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất đầy đủ,"3,3 tỷ"
"Đường số 24B, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",20 m,4 m,80 m²,80 m²,"- 133,75 triệu/m²",4 phòng,4.0,6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"10,7 tỷ"
"Đường Hoàng Diệu 2, Phường Linh Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",36 m,8 m,252 m²,680 m²,"- 138,89 triệu/m²",10 phòng,4.0,6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Nhà nở hậu,,Nội thất đầy đủ,35 tỷ
"Đường Xuân Thới Đông 1, Xã Xuân Thới Đông, Huyện Hóc Môn, Tp Hồ Chí Minh",17 m,5 m,85 m²,,- 30 triệu/m²,5 phòng,,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà nở hậu,,,"2,55 tỷ"
"Đường Thành Mỹ, Phường 8, Quận Tân Bình, Tp Hồ Chí Minh",8.15 m,4 m,33 m²,125 m²,"- 175,76 triệu/m²",3 phòng,4.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"5,8 tỷ"
"Đường Lâm Thị Hố, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",24 m,5.7 m,126 m²,,"- 52,78 triệu/m²",3 phòng,,,"Nhà mặt phố, mặt tiền",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất cao cấp,"6,65 tỷ"
"Đường Tân Thới Hiệp 21, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",22 m,11 m,175 m²,,- 60 triệu/m²,4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất cao cấp,"10,5 tỷ"
"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh",17 m,5 m,85 m²,308 m²,"- 104,71 triệu/m²",4 phòng,,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,Nội thất cao cấp,"8,9 tỷ"
"Đường Lê Văn Thọ, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",12 m,4 m,48 m²,,"- 85,42 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"4,1 tỷ"
"Trương Công Định, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh",15 m,4 m,60 m²,180 m²,"- 108,33 triệu/m²",3 phòng,3.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất đầy đủ,"6,5 tỷ"
"Đường số 16, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",29 m,,216 m²,,"- 32,41 triệu/m²",3 phòng,,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,,7 tỷ
"Đường số 9, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",14 m,4.4 m,58 m²,110 m²,"- 84,48 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Tây,Hoàn thiện cơ bản,"4,9 tỷ"
"549, Đường Lê Văn Thọ, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",9.1 m,3.1 m,30 m²,80 m²,- 115 triệu/m²,3 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Tây Bắc,Hoàn thiện cơ bản,"3,45 tỷ"
"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",13 m,5 m,65 m²,250 m²,"- 96,92 triệu/m²",5 phòng,5.0,6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,Nội thất cao cấp,"6,3 tỷ"
"Đường Nguyễn Văn Lượng, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",20 m,4 m,80 m²,,- 145 triệu/m²,5 phòng,5.0,Nhiều hơn 6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Nội thất đầy đủ,"11,6 tỷ"
"Đường Tây Lân, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",15 m,4 m,60 m²,220 m²,"- 78,33 triệu/m²",5 phòng,5.0,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất đầy đủ,"4,7 tỷ"
"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",20 m,5 m,100 m²,,- 11 triệu/m²,3 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"1,1 tỷ"
"Đông Thạnh 4, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh",15 m,4 m,66 m²,,"- 42,42 triệu/m²",3 phòng,,3 phòng,"Nhà mặt phố, mặt tiền",,,,,"2,8 tỷ"
"Đường Số 99, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh",25 m,5 m,140 m²,,"- 4,79 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Không có sổ,,,,670 triệu
